m,dm,brct,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
375.0,20.0,1.0,150.0,0.302,0.2165,-1.0,9.80745,32.475,45.3
400.0,20.0,0.3,150.0,0.275,0.2121,-1.0,8.749125000000001,31.815,41.25
400.0,20.0,1.0,150.0,0.275,0.2065,-1.0,8.518125,30.974999999999998,41.25
425.0,20.0,0.3,150.0,0.275,0.2271,-1.0,9.367875,34.065,41.25
425.0,20.0,1.0,150.0,0.275,0.2159,-1.0,8.905875,32.385,41.25
450.0,20.0,0.3,150.0,0.275,0.2331,-1.0,9.615375,34.965,41.25
450.0,20.0,1.0,150.0,0.275,0.2293,-1.0,9.458625,34.395,41.25
475.0,20.0,0.3,150.0,0.275,0.2376,-1.0,9.801,35.64,41.25
475.0,20.0,1.0,150.0,0.275,0.2314,-1.0,9.54525,34.71,41.25
500.0,20.0,0.3,150.0,0.254,0.2472,-1.0,9.41832,37.08,38.1
500.0,20.0,1.0,150.0,0.254,0.2518,-1.0,9.593580000000001,37.77,38.1
525.0,20.0,0.3,150.0,0.254,0.25,-1.0,9.525,37.5,38.1
525.0,20.0,1.0,150.0,0.254,0.2655,-1.0,10.11555,39.825,38.1
550.0,20.0,0.3,150.0,0.254,0.2539,-1.0,9.67359,38.085,38.1
550.0,20.0,1.0,150.0,0.254,0.2644,-1.0,10.073640000000001,39.660000000000004,38.1
575.0,20.0,0.3,150.0,0.254,0.2713,-1.0,10.33653,40.695,38.1
575.0,20.0,1.0,150.0,0.254,0.2847,-1.0,10.84707,42.705,38.1
600.0,20.0,0.3,150.0,0.237,0.2692,-1.0,9.57006,40.38,35.55
600.0,20.0,1.0,150.0,0.237,0.2752,-1.0,9.78336,41.28,35.55
625.0,20.0,0.3,150.0,0.237,0.2725,-1.0,9.687375,40.875,35.55
625.0,20.0,1.0,150.0,0.237,0.2759,-1.0,9.808244999999998,41.385,35.55
650.0,20.0,0.3,150.0,0.237,0.2837,-1.0,10.085535,42.555,35.55
650.0,20.0,1.0,150.0,0.237,0.2952,-1.0,10.49436,44.28,35.55
675.0,20.0,0.3,150.0,0.237,0.2902,-1.0,10.316609999999999,43.53,35.55
675.0,20.0,1.0,150.0,0.237,0.2818,-1.0,10.01799,42.269999999999996,35.55
700.0,20.0,0.3,150.0,0.237,0.3008,-1.0,10.693439999999999,45.120000000000005,35.55
700.0,20.0,1.0,150.0,0.237,0.2841,-1.0,10.099755,42.615,35.55
725.0,20.0,0.3,150.0,0.237,0.2874,-1.0,10.21707,43.11,35.55
725.0,20.0,1.0,150.0,0.237,0.3096,-1.0,11.006279999999999,46.44,35.55
750.0,20.0,0.3,150.0,0.237,0.3046,-1.0,10.828529999999999,45.69,35.55
750.0,20.0,1.0,150.0,0.237,0.3062,-1.0,10.88541,45.93000000000001,35.55
775.0,20.0,0.3,150.0,0.237,0.3059,-1.0,10.874744999999999,45.885,35.55
775.0,20.0,1.0,150.0,0.237,0.2973,-1.0,10.569015,44.595,35.55
800.0,20.0,0.3,150.0,0.237,0.3129,-1.0,11.123595,46.935,35.55
800.0,20.0,1.0,150.0,0.237,0.2996,-1.0,10.650779999999997,44.94,35.55
825.0,20.0,0.3,150.0,0.237,0.3015,-1.0,10.718324999999998,45.225,35.55
825.0,20.0,1.0,150.0,0.237,0.3304,-1.0,11.74572,49.56,35.55
850.0,20.0,0.3,150.0,0.237,0.3089,-1.0,10.981395,46.335,35.55
850.0,20.0,1.0,150.0,0.237,0.3199,-1.0,11.372444999999999,47.985,35.55
875.0,20.0,0.3,150.0,0.237,0.3119,-1.0,11.088045,46.785000000000004,35.55
875.0,20.0,1.0,150.0,0.237,0.3176,-1.0,11.290679999999998,47.64,35.55
900.0,20.0,0.3,150.0,0.237,0.3208,-1.0,11.404439999999997,48.12,35.55
900.0,20.0,1.0,150.0,0.237,0.3277,-1.0,11.649734999999998,49.155,35.55
925.0,20.0,0.3,150.0,0.237,0.3177,-1.0,11.294234999999999,47.654999999999994,35.55
925.0,20.0,1.0,150.0,0.237,0.3186,-1.0,11.326229999999999,47.79,35.55
950.0,20.0,0.3,150.0,0.237,0.3236,-1.0,11.503979999999999,48.54,35.55
950.0,20.0,1.0,150.0,0.237,0.318,-1.0,11.3049,47.7,35.55
975.0,20.0,0.3,150.0,0.237,0.3256,-1.0,11.57508,48.84,35.55
975.0,20.0,1.0,150.0,0.237,0.3434,-1.0,12.207869999999998,51.51,35.55
1000.0,20.0,0.3,150.0,0.237,0.3333,-1.0,11.848814999999998,49.995,35.55
1000.0,20.0,1.0,150.0,0.237,0.3285,-1.0,11.678175,49.275000000000006,35.55
1025.0,20.0,0.3,150.0,0.237,0.3371,-1.0,11.983905,50.565000000000005,35.55
1025.0,20.0,1.0,150.0,0.237,0.3491,-1.0,12.410505,52.365,35.55
1050.0,20.0,0.3,150.0,0.237,0.3387,-1.0,12.040785,50.805,35.55
1050.0,20.0,1.0,150.0,0.237,0.3425,-1.0,12.175875,51.37500000000001,35.55
1075.0,20.0,0.3,150.0,0.237,0.3455,-1.0,12.282524999999998,51.824999999999996,35.55
1075.0,20.0,1.0,150.0,0.237,0.3368,-1.0,11.973239999999999,50.519999999999996,35.55
1100.0,20.0,0.3,150.0,0.237,0.3371,-1.0,11.983905,50.565000000000005,35.55
1100.0,20.0,1.0,150.0,0.237,0.3562,-1.0,12.66291,53.43,35.55
250.0,25.0,0.3,150.0,0.361,0.1417,-1.0,7.673055,21.255,54.15
250.0,25.0,1.0,150.0,0.361,0.1498,-1.0,8.111669999999998,22.47,54.15
275.0,25.0,0.3,150.0,0.361,0.1726,-1.0,9.34629,25.89,54.15
275.0,25.0,1.0,150.0,0.361,0.1641,-1.0,8.886014999999999,24.615,54.15
300.0,25.0,0.3,150.0,0.302,0.1682,-1.0,7.619459999999999,25.229999999999997,45.3
300.0,25.0,1.0,150.0,0.302,0.1828,-1.0,8.28084,27.419999999999998,45.3
325.0,25.0,0.3,150.0,0.302,0.1903,-1.0,8.62059,28.544999999999998,45.3
325.0,25.0,1.0,150.0,0.302,0.1911,-1.0,8.65683,28.665,45.3
350.0,25.0,0.3,150.0,0.302,0.1994,-1.0,9.03282,29.91,45.3
350.0,25.0,1.0,150.0,0.302,0.1869,-1.0,8.46657,28.035,45.3
375.0,25.0,0.3,150.0,0.302,0.2154,-1.0,9.75762,32.31,45.3
375.0,25.0,1.0,150.0,0.302,0.2144,-1.0,9.71232,32.160000000000004,45.3
400.0,25.0,0.3,150.0,0.275,0.2099,-1.0,8.658375,31.485,41.25
400.0,25.0,1.0,150.0,0.275,0.2208,-1.0,9.108,33.12,41.25
425.0,25.0,0.3,150.0,0.275,0.2258,-1.0,9.31425,33.87,41.25
425.0,25.0,1.0,150.0,0.275,0.2307,-1.0,9.516375,34.605,41.25
450.0,25.0,0.3,150.0,0.275,0.2377,-1.0,9.805125,35.655,41.25
450.0,25.0,1.0,150.0,0.275,0.2226,-1.0,9.18225,33.39,41.25
