m,dm,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
675.0,30.0,75.0,0.237,0.2993,-1.0,5.3200575,22.4475,17.775
700.0,30.0,75.0,0.237,0.3004,-1.0,5.3396099999999995,22.53,17.775
725.0,30.0,75.0,0.237,0.3017,-1.0,5.3627175,22.6275,17.775
750.0,30.0,75.0,0.237,0.2987,-1.0,5.3093924999999995,22.4025,17.775
775.0,30.0,75.0,0.237,0.2958,-1.0,5.257845,22.185000000000002,17.775
800.0,30.0,75.0,0.237,0.3164,-1.0,5.62401,23.73,17.775
825.0,30.0,75.0,0.237,0.3165,-1.0,5.6257874999999995,23.7375,17.775
850.0,30.0,75.0,0.237,0.3255,-1.0,5.7857625,24.4125,17.775
875.0,30.0,75.0,0.237,0.3295,-1.0,5.8568625,24.712500000000002,17.775
900.0,30.0,75.0,0.237,0.3219,-1.0,5.7217725,24.142500000000002,17.775
925.0,30.0,75.0,0.237,0.3348,-1.0,5.95107,25.11,17.775
950.0,30.0,75.0,0.237,0.3404,-1.0,6.050609999999999,25.529999999999998,17.775
975.0,30.0,75.0,0.237,0.3311,-1.0,5.8853025,24.8325,17.775
1000.0,30.0,75.0,0.237,0.3582,-1.0,6.367005,26.865000000000002,17.775
1025.0,30.0,75.0,0.237,0.3419,-1.0,6.077272499999999,25.6425,17.775
1050.0,30.0,75.0,0.237,0.3491,-1.0,6.2052525,26.1825,17.775
1075.0,30.0,75.0,0.237,0.3522,-1.0,6.260355,26.415000000000003,17.775
1100.0,30.0,75.0,0.237,0.3537,-1.0,6.2870175,26.5275,17.775
250.0,15.0,75.0,0.361,0.151,-1.0,4.088325,11.325,27.075
275.0,15.0,75.0,0.361,0.1575,-1.0,4.2643125,11.8125,27.075
300.0,15.0,75.0,0.302,0.1684,-1.0,3.8142599999999995,12.629999999999999,22.65
325.0,15.0,75.0,0.302,0.1895,-1.0,4.292174999999999,14.2125,22.65
350.0,15.0,75.0,0.302,0.1926,-1.0,4.3623899999999995,14.445,22.65
375.0,15.0,75.0,0.302,0.2032,-1.0,4.60248,15.24,22.65
400.0,15.0,75.0,0.275,0.2131,-1.0,4.3951875000000005,15.982500000000002,20.625
425.0,15.0,75.0,0.275,0.2226,-1.0,4.591125,16.695,20.625
450.0,15.0,75.0,0.275,0.235,-1.0,4.846875,17.625,20.625
475.0,15.0,75.0,0.275,0.2276,-1.0,4.69425,17.07,20.625
500.0,15.0,75.0,0.254,0.2315,-1.0,4.410075,17.3625,19.05
525.0,15.0,75.0,0.254,0.261,-1.0,4.97205,19.575,19.05
550.0,15.0,75.0,0.254,0.2668,-1.0,5.08254,20.009999999999998,19.05
575.0,15.0,75.0,0.254,0.2676,-1.0,5.09778,20.07,19.05
600.0,15.0,75.0,0.237,0.2808,-1.0,4.991219999999999,21.06,17.775
625.0,15.0,75.0,0.237,0.2851,-1.0,5.0676525,21.3825,17.775
650.0,15.0,75.0,0.237,0.2785,-1.0,4.9503375,20.887500000000003,17.775
675.0,15.0,75.0,0.237,0.2787,-1.0,4.953892499999999,20.9025,17.775
700.0,15.0,75.0,0.237,0.2887,-1.0,5.1316425,21.6525,17.775
725.0,15.0,75.0,0.237,0.2889,-1.0,5.135197499999999,21.6675,17.775
750.0,15.0,75.0,0.237,0.3034,-1.0,5.392935,22.755,17.775
775.0,15.0,75.0,0.237,0.3171,-1.0,5.6364525,23.7825,17.775
800.0,15.0,75.0,0.237,0.3186,-1.0,5.6631149999999995,23.895,17.775
825.0,15.0,75.0,0.237,0.3223,-1.0,5.728882499999999,24.1725,17.775
850.0,15.0,75.0,0.237,0.3108,-1.0,5.52447,23.310000000000002,17.775
875.0,15.0,75.0,0.237,0.3378,-1.0,6.004395,25.335,17.775
900.0,15.0,75.0,0.237,0.3227,-1.0,5.735992499999999,24.2025,17.775
925.0,15.0,75.0,0.237,0.3259,-1.0,5.7928725,24.442500000000003,17.775
950.0,15.0,75.0,0.237,0.3353,-1.0,5.959957499999999,25.147499999999997,17.775
975.0,15.0,75.0,0.237,0.3404,-1.0,6.050609999999999,25.529999999999998,17.775
1000.0,15.0,75.0,0.237,0.3436,-1.0,6.107489999999999,25.77,17.775
1025.0,15.0,75.0,0.237,0.3291,-1.0,5.849752499999999,24.6825,17.775
1050.0,15.0,75.0,0.237,0.3535,-1.0,6.283462499999999,26.5125,17.775
1075.0,15.0,75.0,0.237,0.3226,-1.0,5.734215,24.195,17.775
1100.0,15.0,75.0,0.237,0.3586,-1.0,6.374114999999999,26.895,17.775
